Folder,Name,Num,threshold,num_regions,est_len,MeanInt-2,avgWidth-2,stdInt-2,perct95-2,medianInt-2,sumInt-2,MeanInt-9,avgWidth-9,stdInt-9,perct95-9,medianInt-9,sumInt-9,aspect_ratio,intRatio2-9,tipWidthRatio,BodMeanInt,BodAvgWidth,BodStdInt,BodPerct95,BodMedianInt,BodSumInt,BKMeanInt
BC221_18,221_18_1_Snapshot23,23,8.0,1,1348,2511.873731884058,88,1016.9655283577498,4193.049999999999,2427.0,27731086,6567.010915706489,99,2322.969628004141,9252.699999999999,7263.0,75803007,13.616161616161616,1.7986769376148357,0.5757575757575758,3871.2417806946937,101,1947.9582670874868,7817.0,3415.0,437670982,1.0
BC221_18,221_18_1_Snapshot24,24,10.0,1,1771,5602.104984815164,113,1691.1045605307474,8525.0,5160.0,106989001,3488.183876688037,61,1126.3902454966226,5290.0,3433.0,25571876,26.833333333333332,1.685658609033428,1.0819672131147542,5028.525865537584,119,1810.3052740919984,8255.0,4735.0,812343268,1.0
BC221_18,221_18_1_Snapshot25,25,6.0,1,1190,3343.420848653483,87,1058.2455873824115,4789.0,3386.0,33644844,2260.40017974066,79,959.1998989908881,3889.0,2056.0,17606257,15.063291139240507,0.7052063133134521,0.8481012658227848,3116.8198387080033,97,1201.74665280063,5024.0,3062.0,300296241,1.0
BC221_18,221_18_1_Snapshot26,26,10.0,1,954,6584.712590715355,94,1952.167758363068,9266.0,6917.0,57161890,5571.9650101419875,97,1664.427166059996,8291.3,5715.0,43951660,9.835051546391753,1.0696852470651685,0.4536082474226804,5347.771438787714,105,1572.7367201544482,8070.0,5377.0,433720307,1.0
BC221_18,221_18_1_Snapshot27,27,9.0,2,1275,3130.8496543054684,81,1113.2269638574503,4904.299999999999,3445.0,24905909,6874.424353549601,94,2442.8315898154974,9427.0,7849.0,73109503,13.563829787234043,1.5366398828951031,0.574468085106383,4080.7042430500087,99,1968.6399442271163,8138.0,3836.0,418933259,1.0
BC221_18,221_18_1_Snapshot28,28,10.0,1,1105,5642.782194916275,77,1996.7470610241946,8036.0,6209.0,46840735,3814.065934065934,102,1575.9837071283634,7341.799999999996,3567.0,37137560,10.833333333333334,0.9780857104941871,0.6764705882352942,4872.942196164755,107,1900.2446346037057,7846.0,5029.0,460454054,1.0
BC221_18,221_18_1_Snapshot29,29,9.0,1,966,2292.855038220987,81,870.6416672943175,4041.0,1998.0,16497092,3608.8456256358086,95,1345.5543416530957,5744.699999999999,3405.0,28379962,10.16842105263158,1.2371696979151638,0.5473684210526316,4035.626380116058,98,2064.3698931838667,8200.0,3456.0,314343010,1.0
BC221_18,221_18_1_Snapshot3,3,10.0,1,1279,3231.7719095719094,87,1122.9366803565536,5022.0,3289.0,33594269,4695.297085408596,98,1611.4439709375367,7325.0,4568.5,50906411,13.051020408163266,1.2593739325141464,0.6020408163265306,4729.493315062405,102,2178.202072477945,8940.0,4398.0,510804196,1.0
BC221_18,221_18_1_Snapshot30,30,5.0,1,1438,2107.867677824268,95,656.6969374090439,3203.449999999999,2031.0,24181458,2458.6848704834188,50,1019.7905330259747,4131.0,2329.0,14902089,26.62962962962963,1.833633314928407,1.08,2611.4244871344736,102,1133.2719063010184,4888.0,2441.0,260319850,1.0
BC221_18,221_18_1_Snapshot31,31,9.0,1,1684,3165.9684789507087,86,1510.8216698103106,5619.0,2505.0,44896599,2586.963391856556,49,679.9126354072839,3694.0,2649.5,13850602,24.764705882352942,0.7850159704598366,1.3877551020408163,3638.745243543129,95,1641.2753917271943,6553.0,3460.0,464362113,1.0
